assertj-core                             [3.23.1]
com.google.gson                          [2.9.1]
com.google.gson.source                   [2.9.1]
com.ibm.icu                              [67.1.0]
com.ibm.icu.source                       [67.1.0]
com.jcraft.jsch                          [0.1.55.v20190404-1902]
com.jcraft.jsch.source                   [0.1.55.v20190404-1902]
com.sun.el                               [2.2.0.v201303151357]
com.sun.el.source                        [2.2.0.v201303151357]
com.sun.jna                              [5.8.0]
com.sun.jna.platform                     [5.8.0]
com.sun.jna.platform.source              [5.8.0]
com.sun.jna.source                       [5.8.0]
jakarta.servlet-api                      [4.0.0]
jakarta.servlet-api.source               [4.0.0]
javax.annotation                         [1.3.5.v20200909-1856]
javax.annotation.source                  [1.3.5.v20200909-1856]
javax.el                                 [2.2.0.v201303151357]
javax.el.source                          [2.2.0.v201303151357]
javax.inject                             [1.0.0.v20220405-0441]
javax.inject.source                      [1.0.0.v20220405-0441]
javax.servlet.jsp-api                    [2.3.3]
javax.servlet.jsp-api.source             [2.3.3]
junit-jupiter-api                        [5.9.0]
junit-jupiter-api.source                 [5.9.0]
junit-jupiter-engine                     [5.9.0]
junit-jupiter-engine.source              [5.9.0]
junit-jupiter-migrationsupport           [5.9.0]
junit-jupiter-migrationsupport.source    [5.9.0]
junit-jupiter-params                     [5.9.0]
junit-jupiter-params.source              [5.9.0]
junit-platform-commons                   [1.9.0]
junit-platform-commons.source            [1.9.0]
junit-platform-engine                    [1.9.0]
junit-platform-engine.source             [1.9.0]
junit-platform-launcher                  [1.9.0]
junit-platform-launcher.source           [1.9.0]
junit-platform-runner                    [1.9.0]
junit-platform-runner.source             [1.9.0]
junit-platform-suite-api                 [1.9.0]
junit-platform-suite-api.source          [1.9.0]
junit-platform-suite-commons             [1.9.0]
junit-platform-suite-commons.source      [1.9.0]
junit-platform-suite-engine              [1.9.0]
junit-platform-suite-engine.source       [1.9.0]
junit-vintage-engine                     [5.9.0]
junit-vintage-engine.source              [5.9.0]
net.bytebuddy.byte-buddy                 [1.12.10]
net.bytebuddy.byte-buddy-agent           [1.12.10]
org.apache.ant                           [1.10.12.v20211102-1452]
org.apache.ant.source                    [1.10.12.v20211102-1452]
org.apache.batik.constants               [1.14.0.v20210324-0332]
org.apache.batik.constants.source        [1.14.0.v20210324-0332]
org.apache.batik.css                     [1.14.0.v20210324-0332]
org.apache.batik.css.source              [1.14.0.v20210324-0332]
org.apache.batik.i18n                    [1.14.0.v20210324-0332]
org.apache.batik.i18n.source             [1.14.0.v20210324-0332]
org.apache.batik.util                    [1.14.0.v20210324-0332]
org.apache.batik.util.source             [1.14.0.v20210324-0332]
org.apache.commons.codec                 [1.14.0.v20200818-1422]
org.apache.commons.codec.source          [1.14.0.v20200818-1422]
org.apache.commons.commons-fileupload    [1.4.0]
org.apache.commons.commons-io            [2.11.0]
org.apache.commons.jxpath                [1.3.0.v200911051830]
org.apache.commons.jxpath.source         [1.3.0.v200911051830]
