org.eclipse.core.filesystem.source       [1.6.0.v20160503-1608, 1.6.1.v20161113-2349]
org.eclipse.core.filesystem.win32.x86    [1.4.0.v20140124-1940]
org.eclipse.core.filesystem.win32.x86_64 [1.4.0.v20140124-1940]
org.eclipse.core.jobs                    [3.8.0.v20160509-0411]
org.eclipse.core.jobs.source             [3.8.0.v20160509-0411]
org.eclipse.core.net                     [1.3.0.v20160418-1534]
org.eclipse.core.net.linux.x86           [1.2.0.v20160323-1650]
org.eclipse.core.net.linux.x86_64        [1.2.0.v20160323-1650]
org.eclipse.core.net.source              [1.3.0.v20160418-1534]
org.eclipse.core.net.win32.x86           [1.1.0.v20160323-1650]
org.eclipse.core.net.win32.x86_64        [1.1.0.v20160323-1650]
org.eclipse.core.resources               [3.11.0.v20160503-1608, 3.11.1.v20161107-2032]
org.eclipse.core.resources.source        [3.11.0.v20160503-1608, 3.11.1.v20161107-2032]
org.eclipse.core.resources.win32.x86     [3.5.100.v20140124-1940]
org.eclipse.core.resources.win32.x86_64  [3.5.0.v20140124-1940]
org.eclipse.core.runtime                 [3.12.0.v20160606-1342]
org.eclipse.core.runtime.source          [3.12.0.v20160606-1342]
org.eclipse.core.tests.harness           [3.11.0.v20160319-0534]
org.eclipse.core.tests.net               [1.4.0.v20160418-1534]
org.eclipse.core.tests.resources         [3.9.100.v20160503-1608, 3.9.101.v20161107-2032]
org.eclipse.core.tests.runtime           [3.11.0.v20160422-1752]
org.eclipse.core.variables               [3.3.0.v20160419-1720]
org.eclipse.core.variables.source        [3.3.0.v20160419-1720]
org.eclipse.cvs                          [1.4.300.v20160606-1100, 1.4.300.v20160907-1200, 1.4.301.v20161124-1400, 1.4.302.v20170301-0400]
org.eclipse.debug.core                   [3.10.100.v20160419-1720]
org.eclipse.debug.core.source            [3.10.100.v20160419-1720]
org.eclipse.debug.examples.core          [1.4.0.v20160419-1720]
org.eclipse.debug.examples.core.source   [1.4.0.v20160419-1720]
org.eclipse.debug.examples.ui            [1.5.0.v20160419-1720]
org.eclipse.debug.examples.ui.source     [1.5.0.v20160419-1720]
org.eclipse.debug.tests                  [3.10.0.v20160419-1720]
org.eclipse.debug.ui                     [3.11.200.v20160518-1858, 3.11.201.v20160825-1412, 3.11.202.v20161114-0338]
org.eclipse.debug.ui.source              [3.11.200.v20160518-1858, 3.11.201.v20160825-1412, 3.11.202.v20161114-0338]
org.eclipse.e4.core.commands             [0.11.100.v20160506-0804]
org.eclipse.e4.core.commands.source      [0.11.100.v20160506-0804]
org.eclipse.e4.core.commands.tests       [0.11.0.v20151005-1655]
org.eclipse.e4.core.contexts             [1.5.0.v20160504-0909, 1.5.1.v20170203-1100]
org.eclipse.e4.core.contexts.source      [1.5.0.v20160504-0909, 1.5.1.v20170203-1100]
org.eclipse.e4.core.di                   [1.6.0.v20160319-0612, 1.6.1.v20160712-0927]
org.eclipse.e4.core.di.annotations       [1.5.0.v20151127-1241]
org.eclipse.e4.core.di.annotations.source [1.5.0.v20151127-1241]
org.eclipse.e4.core.di.extensions        [0.14.0.v20160211-1614]
org.eclipse.e4.core.di.extensions.source [0.14.0.v20160211-1614]
org.eclipse.e4.core.di.source            [1.6.0.v20160319-0612, 1.6.1.v20160712-0927]
org.eclipse.e4.core.services             [2.0.100.v20160509-1032]
org.eclipse.e4.core.services.source      [2.0.100.v20160509-1032]
org.eclipse.e4.core.tests                [1.1.0.v20160517-0925, 1.1.0.v20170131-1506]
org.eclipse.e4.emf.xpath                 [0.1.200.v20160506-0804]
org.eclipse.e4.emf.xpath.source          [0.1.200.v20160506-0804]
org.eclipse.e4.tools                     [4.5.0.v20160503-0947]
org.eclipse.e4.tools.compat              [4.5.0.v20160503-0947]
org.eclipse.e4.tools.compat.source       [4.5.0.v20160503-0947]
org.eclipse.e4.tools.emf.editor3x        [4.5.0.v20160503-0947]
org.eclipse.e4.tools.emf.editor3x.source [4.5.0.v20160503-0947]
org.eclipse.e4.tools.emf.ui              [4.5.100.v20160503-0947, 4.5.100.v20170109-1815]
org.eclipse.e4.tools.emf.ui.source       [4.5.100.v20160503-0947, 4.5.100.v20170109-1815]
org.eclipse.e4.tools.jdt.templates       [4.5.0.v20160503-0947, 4.5.0.v20161220-1401]
org.eclipse.e4.tools.jdt.templates.source [4.5.0.v20160503-0947, 4.5.0.v20161220-1401]
org.eclipse.e4.tools.services            [4.5.0.v20160503-0947]
org.eclipse.e4.tools.services.source     [4.5.0.v20160503-0947]
org.eclipse.e4.tools.source              [4.5.0.v20160503-0947]
org.eclipse.e4.ui.bindings               [0.11.100.v20160509-1025]
org.eclipse.e4.ui.bindings.source        [0.11.100.v20160509-1025]
org.eclipse.e4.ui.bindings.tests         [0.10.0.v20151005-1657]
org.eclipse.e4.ui.css.core               [0.12.0.v20160505-1310, 0.12.1.v20161114-0210]
org.eclipse.e4.ui.css.core.source        [0.12.0.v20160505-1310, 0.12.1.v20161114-0210]
org.eclipse.e4.ui.css.swt                [0.12.100.v20160517-1505]
org.eclipse.e4.ui.css.swt.source         [0.12.100.v20160517-1505]
org.eclipse.e4.ui.css.swt.theme          [0.10.100.v20160523-0836]
org.eclipse.e4.ui.css.swt.theme.source   [0.10.100.v20160523-0836]
org.eclipse.e4.ui.di                     [1.1.100.v20160506-0759]
org.eclipse.e4.ui.di.source              [1.1.100.v20160506-0759]
org.eclipse.e4.ui.dialogs                [1.1.0.v20151127-1218]
org.eclipse.e4.ui.dialogs.source         [1.1.0.v20151127-1218]
org.eclipse.e4.ui.model.workbench        [1.2.0.v20160229-1459]
