com.google.code.atinject.tck             [1.1.0.v20160901-1938]
com.ibm.icu                              [58.2.0.v20170418-1837]
com.ibm.icu.source                       [58.2.0.v20170418-1837]
com.jcraft.jsch                          [0.1.54.v20170116-1932]
com.jcraft.jsch.source                   [0.1.54.v20170116-1932]
com.sun.el                               [2.2.0.v201303151357]
com.sun.el.source                        [2.2.0.v201303151357]
javax.annotation                         [1.2.0.v201602091430]
javax.annotation.source                  [1.2.0.v201602091430]
javax.el                                 [2.2.0.v201303151357]
javax.el.source                          [2.2.0.v201303151357]
javax.inject                             [1.0.0.v20091030]
javax.inject.source                      [1.0.0.v20091030]
javax.servlet                            [3.1.0.v201410161800]
javax.servlet.jsp                        [2.2.0.v201112011158]
javax.servlet.jsp.source                 [2.2.0.v201112011158]
javax.servlet.source                     [3.1.0.v201410161800]
org.apache.ant                           [1.10.1.v20170504-0840]
org.apache.ant.source                    [1.10.1.v20170504-0840]
org.apache.batik.css                     [1.8.0.v20170214-1941]
org.apache.batik.css.source              [1.8.0.v20170214-1941]
org.apache.batik.util                    [1.8.0.v20170214-1941]
org.apache.batik.util.gui                [1.8.0.v20170214-1941]
org.apache.batik.util.gui.source         [1.8.0.v20170214-1941]
org.apache.batik.util.source             [1.8.0.v20170214-1941]
org.apache.commons.codec                 [1.9.0.v20170208-1614]
org.apache.commons.codec.source          [1.9.0.v20170208-1614]
org.apache.commons.fileupload            [1.3.2.v20170320-2229]
org.apache.commons.io                    [2.2.0.v201405211200]
org.apache.commons.jxpath                [1.3.0.v200911051830]
org.apache.commons.jxpath.source         [1.3.0.v200911051830]
org.apache.commons.logging               [1.1.1.v201101211721]
org.apache.commons.logging.source        [1.1.1.v201101211721]
org.apache.felix.gogo.command            [0.10.0.v201209301215]
org.apache.felix.gogo.command.source     [0.10.0.v201209301215]
org.apache.felix.gogo.runtime            [0.10.0.v201209301036]
org.apache.felix.gogo.runtime.source     [0.10.0.v201209301036]
org.apache.felix.gogo.shell              [0.10.0.v201212101605]
org.apache.felix.gogo.shell.source       [0.10.0.v201212101605]
org.apache.felix.scr                     [2.0.10.v20170501-2007]
org.apache.felix.scr.source              [2.0.10.v20170501-2007]
org.apache.httpcomponents.httpclient     [4.5.2.v20170210-0925]
org.apache.httpcomponents.httpclient.source [4.5.2.v20170210-0925]
org.apache.httpcomponents.httpcore       [4.4.6.v20170210-0925]
org.apache.httpcomponents.httpcore.source [4.4.6.v20170210-0925]
org.apache.jasper.glassfish              [2.2.2.v201501141630]
org.apache.jasper.glassfish.source       [2.2.2.v201501141630]
org.apache.lucene.analyzers-common       [6.1.0.v20161115-1612]
org.apache.lucene.analyzers-common.source [6.1.0.v20161115-1612]
org.apache.lucene.analyzers-smartcn      [6.1.0.v20161115-1612]
org.apache.lucene.analyzers-smartcn.source [6.1.0.v20161115-1612]
org.apache.lucene.core                   [6.1.0.v20161115-1612, 6.1.0.v20170814-1820]
org.apache.lucene.core.source            [6.1.0.v20161115-1612, 6.1.0.v20170814-1820]
org.apache.lucene.misc                   [6.1.0.v20161115-1612]
org.apache.lucene.misc.source            [6.1.0.v20161115-1612]
org.apache.mina.core                     [2.0.7.v201401071602]
org.apache.mina.core.source              [2.0.7.v201401071602]
org.apache.sshd.core                     [0.7.0.v201303101611]
org.apache.sshd.core.source              [0.7.0.v201303101611]
org.apiguardian                          [1.0.0.v20170910-2246]
org.apiguardian.source                   [1.0.0.v20170910-2246]
org.easymock                             [2.4.0.v20090202-0900]
org.eclipse.ant.core                     [3.5.0.v20170509-2149]
org.eclipse.ant.core.source              [3.5.0.v20170509-2149]
org.eclipse.ant.launching                [1.2.0.v20170509-2157, 1.2.1.v20171108-0853]
org.eclipse.ant.launching.source         [1.2.0.v20170509-2157, 1.2.1.v20171108-0853]
org.eclipse.ant.optional.junit           [3.3.200.v20160315-2119]
org.eclipse.ant.tests.core               [3.5.0.v20170428-0920]
org.eclipse.ant.tests.ui                 [3.9.200.v20170515-1006]
org.eclipse.ant.ui                       [3.7.0.v20170412-1054]
org.eclipse.ant.ui.source                [3.7.0.v20170412-1054]
org.eclipse.compare                      [3.7.100.v20170303-1847, 3.7.101.v20170724-1603]
org.eclipse.compare.core                 [3.6.100.v20170516-0820]
org.eclipse.compare.core.source          [3.6.100.v20170516-0820]
org.eclipse.compare.examples             [3.2.100.v20170516-0820]
org.eclipse.compare.examples.source      [3.2.100.v20170516-0820]
org.eclipse.compare.examples.xml         [3.4.100.v20161029-1807]
org.eclipse.compare.examples.xml.source  [3.4.100.v20161029-1807]
org.eclipse.compare.source               [3.7.100.v20170303-1847, 3.7.101.v20170724-1603]
org.eclipse.compare.tests                [3.6.100.v20170515-1347]
org.eclipse.compare.win32                [1.2.0.v20170517-0839]
org.eclipse.compare.win32.source         [1.2.0.v20170517-0839]
org.eclipse.core.commands                [3.9.0.v20170530-1048]
org.eclipse.core.commands.source         [3.9.0.v20170530-1048]
org.eclipse.core.contenttype             [3.6.0.v20170207-1037]
