assertj-core                             [3.22.0]
org.eclipse.core.expressions.tests       [3.6.0.v20210621-0954]
org.eclipse.core.externaltools           [1.2.200.v20220125-2302]
org.eclipse.core.externaltools.source    [1.2.200.v20220125-2302]
org.eclipse.core.filebuffers             [3.7.200.v20220202-1008]
org.eclipse.core.filebuffers.source      [3.7.200.v20220202-1008]
org.eclipse.core.filebuffers.tests       [3.12.200.v20220202-1008]
org.eclipse.core.filesystem              [1.9.400.v20220419-0658]
org.eclipse.core.filesystem.linux.aarch64 [1.4.100.v20200805-0859]
org.eclipse.core.filesystem.linux.aarch64.source [1.4.100.v20200805-0859]
org.eclipse.core.filesystem.linux.ppc64le [1.4.100.v20180828-0158]
org.eclipse.core.filesystem.linux.x86_64 [1.2.300.v20180828-0158]
org.eclipse.core.filesystem.macosx       [1.3.300.v20210427-1937]
org.eclipse.core.filesystem.source       [1.9.400.v20220419-0658]
org.eclipse.core.filesystem.win32.x86_64 [1.4.200.v20190812-0909]
org.eclipse.core.jobs                    [3.13.0.v20220512-1935]
org.eclipse.core.jobs.source             [3.13.0.v20220512-1935]
org.eclipse.core.net                     [1.3.1200.v20220312-1450]
org.eclipse.core.net.linux               [1.0.100.v20220111-1854]
org.eclipse.core.net.linux.source        [1.0.100.v20220111-1854]
org.eclipse.core.net.source              [1.3.1200.v20220312-1450]
org.eclipse.core.net.win32               [1.0.0.v20220312-1450]
org.eclipse.core.net.win32.source        [1.0.0.v20220312-1450]
org.eclipse.core.net.win32.x86_64        [1.1.600.v20220312-1450]
org.eclipse.core.net.win32.x86_64.source [1.1.600.v20220312-1450]
org.eclipse.core.resources               [3.17.0.v20220517-0751]
org.eclipse.core.resources.source        [3.17.0.v20220517-0751]
org.eclipse.core.resources.win32.x86_64  [3.5.400.v20190812-0909]
org.eclipse.core.runtime                 [3.25.0.v20220506-1157]
org.eclipse.core.runtime.source          [3.25.0.v20220506-1157]
org.eclipse.core.tests.harness           [3.12.200.v20220504-1423]
org.eclipse.core.tests.net               [1.5.0.v20210424-1942]
org.eclipse.core.tests.resources         [3.10.1800.v20220519-0723]
org.eclipse.core.tests.runtime           [3.20.200.v20220517-1057]
org.eclipse.core.variables               [3.5.100.v20210721-1355]
org.eclipse.core.variables.source        [3.5.100.v20210721-1355]
org.eclipse.debug.core                   [3.19.100.v20220324-0630]
org.eclipse.debug.core.source            [3.19.100.v20220324-0630]
org.eclipse.debug.examples.core          [1.5.0.v20210510-1910]
org.eclipse.debug.examples.core.source   [1.5.0.v20210510-1910]
org.eclipse.debug.examples.ui            [1.7.100.v20210721-1355]
org.eclipse.debug.examples.ui.source     [1.7.100.v20210721-1355]
org.eclipse.debug.tests                  [3.12.700.v20220513-0815]
org.eclipse.debug.ui                     [3.16.100.v20220526-0826]
org.eclipse.debug.ui.launchview          [1.0.200.v20220308-0315]
org.eclipse.debug.ui.launchview.source   [1.0.200.v20220308-0315]
